G2202	SAMEA118265290
G2203	SAMEA118265291
G2204	SAMEA118265292
G2206	SAMEA118265293
G2209	SAMEA118265294
G2211	SAMEA118265295
G2213	SAMEA118265296
G2214	SAMEA118265297
G2215	SAMEA118265298
G2218	SAMEA118265299
G2220	SAMEA118265300
G2222	SAMEA118265301
G2225	SAMEA118265302
G2226	SAMEA118265303
G2227	SAMEA118265304
G2228	SAMEA118265305
G2229	SAMEA118265306
G2230	SAMEA118265307
G2231	SAMEA118265308
G2232	SAMEA118265309
G2233	SAMEA118265310
G2234	SAMEA118265311
G2235	SAMEA118265312
G2236	SAMEA118265313
G2237	SAMEA118265314
G2238	SAMEA118265315
G2239	SAMEA118265316
G2241	SAMEA118265317
G2243	SAMEA118265318
G2244	SAMEA118265319
G2245	SAMEA118265320
G2246	SAMEA118265321
G2248	SAMEA118265322
G2249	SAMEA118265323
G2252	SAMEA118265324
G2254	SAMEA118265325
G2255	SAMEA118265326
G2258	SAMEA118265327
G2259	SAMEA118265328
G2261	SAMEA118265329
G2263	SAMEA118265330
G2264	SAMEA118265331
G2265	SAMEA118265332
G2266	SAMEA118265333
G2271	SAMEA118265334
G2273	SAMEA118265335
G2275	SAMEA118265336
G2276	SAMEA118265337
G2278	SAMEA118265338
G2279	SAMEA118265339
G2280	SAMEA118265340
G2281	SAMEA118265341
G2289	SAMEA118265342
G2290	SAMEA118265343
G2291	SAMEA118265344
G2292	SAMEA118265345
G2293	SAMEA118265346
G2294	SAMEA118265347
G2295	SAMEA118265348
G2296	SAMEA118265349
G2297	SAMEA118265350
G2298	SAMEA118265351
G2300m	SAMEA118265352
G2301	SAMEA118265353
G2305	SAMEA118265355
G2306	SAMEA118265356
G2307	SAMEA118265357
G2308m	SAMEA118265358
G2309	SAMEA118265359
G2310	SAMEA118265360
G2312	SAMEA118265361
G2313	SAMEA118265362
G2314	SAMEA118265363
G2316	SAMEA118265364
G2317	SAMEA118265365
G2319	SAMEA118265367
G2320	SAMEA118265368
G2324	SAMEA118265369
G2326	SAMEA118265370
G2328	SAMEA118265371
G2332	SAMEA118265372
G2334	SAMEA118265374
G2336	SAMEA118265375
G2338	SAMEA118265376
G2341	SAMEA118265377
G2343Lib2	SAMEA118265378
G2344	SAMEA118265379
G2345	SAMEA118265380
G2347	SAMEA118265382
G2368	SAMEA118265383
G2371m	SAMEA118265384
G2383	SAMEA118265385
G2386	SAMEA118265386
G2397	SAMEA118265387
G2407	SAMEA118265388
G2410	SAMEA118265389
G2411	SAMEA118265390
G2413	SAMEA118265391
G2414	SAMEA118265392
G2415	SAMEA118265393
G2416	SAMEA118265394
G2417	SAMEA118265395
G2418	SAMEA118265396
G2420	SAMEA118265397
G2423	SAMEA118265398
G2430	SAMEA118265399
G2435	SAMEA118265400
G2436	SAMEA118265401
G2441	SAMEA118265402
G2443	SAMEA118265403
G2447	SAMEA118265404
G2450	SAMEA118265405
G2451	SAMEA118265406
G2452	SAMEA118265407
G2453	SAMEA118265408
G2454	SAMEA118265409
G2456	SAMEA118265410
